Name,Month and Year,Disaster,Begin Date,End Date,"Total CPI-Adjusted Cost, (Millions of Dollars)",Deaths
Southeast Tornadoes and Northern Storms and Flooding,January 2020,Severe Storm,1/10/20,1/12/20,"$1,355.80",10
"South, East and Northeast Severe Weather",February 2020,Severe Storm,2/5/20,2/7/20,"$1,482.20",3
Tennessee Tornadoes and Southeast Severe Weather,March 2020,Severe Storm,3/2/20,3/4/20,"$2,756.40",25
Midwest and Ohio Valley Severe Weather,March 2020,Severe Storm,3/27/20,3/28/20,"$3,018.30",0
North Central and Ohio Valley Hail Storms and Severe Weather,April 2020,Severe Storm,4/7/20,4/8/20,"$3,428.70",0
Southeast and Eastern Tornado Outbreak,April 2020,Severe Storm,4/12/20,4/13/20,"$4,098.40",35
Southern Severe Weather,April 2020,Severe Storm,4/21/20,4/23/20,"$1,606.60",3
"Central, Southern and Eastern Severe Weather",April 2020,Severe Storm,4/27/20,4/30/20,"$1,222.10",1
Central and Eastern Severe Weather,May 2020,Severe Storm,5/3/20,5/5/20,"$2,514.40",2
"South, Central and Eastern Severe Weather",May 2020,Severe Storm,5/20/20,5/23/20,"$1,885.10",2
South Texas Hail Storms,May 2020,Severe Storm,5/27/20,5/27/20,"$1,666.00",0
Central Severe Weather,July 2020,Severe Storm,7/10/20,7/11/20,"$1,411.30",0
Hurricane Hanna,July 2020,Tropical Cyclone,7/25/20,7/26/20,"$1,257.80",0
Hurricane Isaias,August 2020,Tropical Cyclone,8/3/20,8/4/20,"$5,565.90",16
Central Severe Weather - Derecho,August 2020,Severe Storm,8/10/20,8/10/20,"$13,011.90",4
Hurricane Laura,August 2020,Tropical Cyclone,8/27/20,8/28/20,"$27,161.70",42
Hurricane Sally,September 2020,Tropical Cyclone,9/15/20,9/17/20,"$8,510.60",5
Hurricane Delta,October 2020,Tropical Cyclone,10/9/20,10/11/20,"$3,354.60",5
Hurricane Zeta,October 2020,Tropical Cyclone,10/28/20,10/29/20,"$5,091.90",6
Tropical Storm Eta,November 2020,Tropical Cyclone,11/8/20,11/12/20,"$1,708.30",12
Western/Central Drought and Heat Wave,Summer-Fall 2020,Drought,6/1/20,12/30/20,"$5,259.30",45
"Western Wildfires - California, Oregon, Washington Firestorms",Fall 2020,Wildfire,8/1/20,12/30/20,"$19,246.50",46
California Flooding and Severe Weather,January 2021,Flooding,1/24/21,1/29/21,"$1,281.20",2
"Northwest, Central, Eastern Winter Storm and Cold Wave",February 2021,Winter Storm,2/10/21,2/19/21,"$26,315.80",262
Southeast Tornadoes and Severe Weather,March 2021,Severe Storm,3/24/21,3/25/21,"$1,928.80",6
Eastern Severe Weather,March 2021,Severe Storm,3/27/21,3/28/21,"$1,548.20",8
Texas Hail Storms,April 2021,Severe Storm,4/12/21,4/15/21,"$1,696.30",0
Texas and Oklahoma Severe Weather,April 2021,Severe Storm,4/27/21,4/28/21,"$3,621.40",0
Southern Tornadoes and Southeast Severe Weather,May 2021,Severe Storm,5/2/21,5/4/21,"$1,428.60",4
Louisiana Flooding,May 2021,Flooding,5/17/21,5/18/21,"$1,516.90",5
Ohio Valley Hail Storms,June 2021,Severe Storm,6/17/21,6/18/21,"$1,911.80",0
Central Severe Storms,June 2021,Severe Storm,6/24/21,6/26/21,"$1,403.50",0
Tropical Storm Elsa,July 2021,Tropical Cyclone,7/7/21,7/9/21,"$1,358.60",1
Central Severe Storms,July 2021,Severe Storm,7/8/21,7/11/21,"$1,209.60",0
North Central Severe Weather,August 2021,Severe Storm,8/10/21,8/13/21,"$1,438.10",2
Tropical Storm Fred,August 2021,Tropical Cyclone,8/16/21,8/18/21,"$1,430.20",7
Hurricane Ida,August 2021,Tropical Cyclone,8/29/21,9/1/21,"$82,400.70",96
Hurricane Nicholas,September 2021,Tropical Cyclone,9/14/21,9/18/21,"$1,137.90",0
"Southeast, Central Tornado Outbreak",December 2021,Severe Storm,12/10/21,12/10/21,"$4,306.50",93
Midwest Derecho and Tornado Outbreak,December 2021,Severe Storm,12/15/21,12/15/21,"$1,960.20",1
Western Wildfires,2021,Wildfire,6/1/21,12/31/21,"$11,648.00",8
Western Drought and Heat Wave,2021,Drought,1/1/21,12/31/21,"$9,864.50",229
Texas Hail Storms,February 2022,Severe Storm,2/21/22,2/22/22,"$1,088.60",0
Southern Tornado Outbreak,March 2022,Severe Storm,3/30/22,3/30/22,"$1,331.40",2
Southeast Tornado Outbreak,April 2022,Severe Storm,4/4/22,4/6/22,"$1,501.90",3
Southern Severe Weather,April 2022,Severe Storm,4/11/22,4/13/22,"$2,835.50",1
Southern and Central Severe Weather,May 2022,Severe Storm,5/1/22,5/3/22,"$1,184.50",1
North Central Hail Storms,May 2022,Severe Storm,5/9/22,5/9/22,"$2,289.60",0
North Central Severe Weather,May 2022,Severe Storm,5/11/22,5/12/22,"$2,868.30",1
North Central Hail Storms,May 2022,Severe Storm,5/19/22,5/19/22,"$2,528.20",0
Central Severe Weather,June 2022,Severe Storm,6/7/22,6/8/22,"$1,968.50",0
Central Derecho,June 2022,Severe Storm,6/13/22,6/13/22,"$3,342.80",1
North Central and Eastern Severe Weather,July 2022,Severe Storm,7/22/22,7/24/22,"$1,380.30",1
Kentucky and Missouri Flooding,July 2022,Flooding,7/26/22,7/28/22,"$1,509.00",42
Hurricane Fiona,September 2022,Tropical Cyclone,9/17/22,9/18/22,"$2,585.30",25
Hurricane Ian,September 2022,Tropical Cyclone,9/28/22,9/30/22,"$115,154.00",152
Hurricane Nicole,November 2022,Tropical Cyclone,11/10/22,11/11/22,"$1,040.40",5
Western Wildfires,Spring-Fall 2022,Wildfire,4/1/22,11/30/22,"$3,203.50",17
Central and Eastern Winter Storm and Cold Wave,December 2022,Winter Storm,12/21/22,12/26/22,"$8,614.00",87
Western/Central Drought and Heat Wave,2022,Drought,1/1/22,12/31/22,"$22,852.00",136
Northeastern Winter Storm / Cold Wave,February 2023,Winter Storm,2/2/23,2/5/23,"$1,766.60",1
Southern and Eastern Severe Weather,March 2023,Severe Storm,3/2/23,3/3/23,"$6,064.20",13
California Flooding,December 2022 - March 2023,Flooding,12/26/22,3/19/23,"$4,590.00",22
Southern and Eastern Severe Weather,April 2023,Severe Storm,3/24/23,3/26/23,"$1,949.40",23
Central Tornado Outbreak and Eastern Severe Weather,March 2023,Severe Storm,3/31/23,4/1/23,"$5,420.90",33
Central and Eastern Severe Weather,April 2023,Severe Storm,4/4/23,4/6/23,"$2,831.20",5
Central and Southern Severe Weather,April 2023,Severe Storm,4/15/23,4/15/23,"$1,139.50",0
Central Severe Weather,April 2023,Severe Storm,4/19/23,4/20/23,"$1,908.10",1
Southern Severe Weather,April 2023,Severe Storm,4/25/23,4/27/23,"$1,111.10",0
Central Severe Weather,May 2023,Severe Storm,5/6/23,5/8/23,"$1,089.00",1
Central and Eastern Tornadoes and Hail Storms,May 2023,Severe Storm,5/10/23,5/12/23,"$2,394.00",1
Texas Hail Storms,May 2023,Severe Storm,5/18/23,5/19/23,"$1,010.00",0
Southern Severe Weather,June 2023,Severe Storm,6/11/23,6/14/23,"$2,601.00",0
Central and Southern Severe Weather,June 2023,Severe Storm,6/15/23,6/18/23,"$2,582.00",5
Rockies Hail Storms and Central and Eastern Severe Weather,June 2023,Severe Storm,6/21/23,6/26/23,"$3,292.00",8
